active_zone,faCoordinateX,faCoordinateY,faCoordinateZ,nearest_neighbor_distance,distance_to_presynaptic,distance_to_postsynaptic,distance_to_fusion_point
0,396.786208,711.557858,217.39264,9.473365855308746,3.012317628251896,22.656090236039763,151.60689319436716
0,461.635347,501.55514,108.704991,8.267708222512622,6.260201261599686,24.985205658484887,35.12635216323674
0,345.617427,754.752825,230.816025,9.45507323326033,13.694252876445963,21.736692259858387,216.82445397419372
0,443.376922,302.349519,99.869497,9.852627380452546,5.794432702010294,20.64912306614962,82.52799909657227
0,457.548044,217.489895,143.192559,6.540586531123588,13.644203779770374,20.622491447616266,58.501789443808214
0,493.47056,629.907734,211.651157,8.48130521716731,9.505122549386673,16.150631007493544,40.61228100716546
0,495.528401,548.6277,201.056384,8.7490077405943,4.562714434424305,20.806078976229195,16.57663029093931
0,458.516867,345.184825,133.026731,7.003554714459793,6.2211198650405874,20.551336164667923,45.79097908059126
0,495.822618,635.355122,224.976767,8.680010595492204,7.0404276885385455,18.890718966514566,38.77824129532951
0,484.734617,618.720664,200.927967,7.993758076102161,4.7205003382891775,19.55573621574884,43.15645804818517
0,485.662363,633.045284,210.592678,8.48130521716731,4.942395804085537,20.641964740374966,44.840552698032766
0,488.452397,463.134222,171.646755,10.010772311701077,8.085532980066427,19.81902152587726,14.261170199778945
0,439.90997,686.158822,208.815164,10.521570716508238,7.60675583036949,17.952680033492246,107.7920951857211
0,461.433561,320.481347,128.603072,7.778958554330142,10.40431346979469,15.19606670390336,68.180567236721
0,464.489871,395.424838,141.424117,6.754498373053431,5.473551050339571,20.339314888468667,24.66805254747342
0,447.648099,220.142176,132.828075,10.174412344001219,5.964874843920885,22.135540521425096,63.29127889061214
0,403.61876,717.770465,229.869856,5.9477154504391345,7.1869405607107675,18.684024012392488,150.9083460483305
0,497.595578,640.476065,231.757264,8.575563280893482,7.755008186655375,18.17523770665795,42.257001826682206
0,461.579466,176.324923,160.205183,10.276600332501443,29.921302856976535,22.052815398798487,92.32993458942448
0,427.69867,683.029396,190.159865,7.998258705263889,6.466066626639102,18.939211776856016,118.38448138854196
0,410.152585,708.305488,218.908948,9.495733789650693,5.859977884039147,19.6982284199918,140.46430523361263
0,453.243668,206.764264,135.212369,14.044580646414355,14.262549103203112,16.928135021528202,71.9857164514841
0,394.357444,734.127831,236.72814,20.009284243432365,16.05718843314451,11.944143962903537,169.3435299934336
0,468.718654,356.341441,160.30984,20.061474084021125,8.377308427148426,15.233637854363218,27.64055752197045
0,455.71785,300.454193,129.224912,8.870035767245628,5.364424078150287,19.946528958668793,54.96446948400676
