active_zone,faCoordinateX,faCoordinateY,faCoordinateZ,nearest_neighbor_distance,distance_to_presynaptic,distance_to_postsynaptic,distance_to_fusion_point,distance_to_active_zone_center,aunp_cluster
0,258.725251,645.62598,179.827438,12.578120440699568,4.96871227788045,24.294778939104955,12.168507500794918,142.7010077407028,0
0,455.964559,432.475196,165.712107,7.581404400601435,5.2982683920582065,20.203221755433876,14.782151019303289,155.76979009083723,1
0,324.937493,584.103902,170.952863,12.777835100434356,8.157736666769166,16.261161536464712,36.40397539755118,54.67621116458548,3
0,363.866452,517.468845,185.367449,8.182341852947156,3.6039255124868883,25.702850764732332,29.25632253056705,56.826797329901424,1
0,362.269899,533.517236,176.265458,5.748721720433722,6.376169178528447,19.57616603164847,35.75368040917673,39.20027503729444,1
0,407.933313,508.85793,137.120318,7.6231682565558465,2.797488107302818,23.323715328961914,25.340928861882112,65.83517599711547,1
0,338.997685,615.193795,112.216014,10.470949208722327,5.013544201188906,20.815154628092913,70.92769846181706,72.29692140781418,0
0,305.287309,659.689142,105.293561,9.120362500819034,6.613224262251737,18.645571945025996,66.45384738997714,125.62238952086734,2
0,308.887819,569.301317,195.569767,7.118545983188055,5.148910097979901,26.506764694117788,47.17958640577921,76.719086591938,3
0,311.832602,644.691248,116.884089,8.50400710216142,5.459209165048002,20.523156378580783,66.82064074094838,106.6134879283258,0
0,212.460319,712.531751,182.724777,8.45002135813705,5.789602065899936,20.759108058062075,68.94027482528635,220.78544299679683,4
0,395.903891,490.967728,191.46888,9.733383563882018,14.45482045596928,12.74766531430794,45.420587529489865,85.9680480142369,1
0,450.333749,440.408614,164.068746,9.294616141289168,4.999810563003089,20.97482199473772,10.45358704377661,145.92490533820705,1
0,264.324134,653.826433,163.953439,10.157714194564361,4.522032777009082,21.38845410761319,24.63854651524792,141.02757552937425,0
0,298.927864,670.526289,91.911388,9.957983314722181,9.17785570120827,18.472070863617557,66.96455214386336,142.28286176170934,2
0,530.034472,389.428145,128.119831,6.0024588567322725,3.4109805037536485,21.39015495001039,44.33113672378849,235.90803940479645,1
0,217.365604,748.349354,127.430086,7.0993609991661275,4.75474857842403,23.180921089685796,78.3240064070177,242.3042912886494,4
0,259.906577,663.364926,155.874054,9.151791367551652,3.2667757781353672,20.700544986085696,26.40846216443607,150.08183282577014,0
0,396.903184,470.36104,190.339352,5.790437967452642,4.144835879150532,22.372576200792192,46.46605850030881,103.20999378295616,1
0,519.904811,388.572639,147.99796,8.34670939005976,5.223265906004236,19.655837402686366,36.86352892952757,228.8172059924826,1
0,221.507456,731.341212,154.783095,10.19924640211768,7.403017798692481,19.684886765234953,63.48233927239387,225.71787223110587,4
