cluster_label,n_aunps,cluster_area,cluster_max_dimension,cluster_density
0,62,8463.138424670411,120.7844169501736,0.007325887500465235
1,41,6809.119920002195,148.61941578109665,0.006021336161162335
2,3,,15.931058043135184,
3,4,48.08505180493558,20.52629540960045,0.08318593512650493
