tomogram_name,set_name,timestamp,vesicle_index,vesicle_file_name,vesicle_center_x,vesicle_center_y,vesicle_center_z,vesicle_radius_nm,vesicle_diameter_nm,vesicle_volume_nm3,vesicle_point_count,closest_presynaptic_membrane,distance_to_active_zone_nm,within_10nm,average_signal,scaled_signal,sphericity_volume,sphericity_fit_quality,mean_distance_to_center,std_distance_to_center,combined_sphericity,normalized_signal
20231026_HippAu_26,15F1,2025-07-23 11:14:55,0,synapticvesicles_75.txt,341.7817540330794,536.2805933999977,191.056677505106,30.160540540762067,60.321081081524135,114922.739893542,17178,presynapticmembranes_1,88.57018366805177,False,0.0521371141076087,0.9933754630422312,0.996502655738736,0.9659014162178362,30.16054055615912,1.0284317190695402,0.987322283882466,0.1084735557040673
20231026_HippAu_26,15F1,2025-07-23 11:14:55,1,synapticvesicles_147.txt,451.3030614310607,534.7347482323406,213.41732825816203,30.04211169141802,60.08422338283604,113574.2764054512,17008,presynapticmembranes_1,5.678848394815783,True,0.0522081367671489,0.9947286673481236,0.9965453460496504,0.9730593190510572,30.042111691930813,0.8093549461248104,0.9894995379500724,0.1715488092953701
20231026_HippAu_26,15F1,2025-07-23 11:14:55,2,synapticvesicles_21.txt,257.12522015075285,409.3798748938457,196.63903451251127,26.442258660040604,52.88451732008121,77443.37242820598,13252,presynapticmembranes_1,169.7513689252183,False,0.0530683249235153,1.0111179482425403,0.9969409243185928,0.9700583956553074,26.442258120501485,0.791723630624291,0.988876165719607,0.9354822701136116
20231026_HippAu_26,15F1,2025-07-23 11:14:55,3,synapticvesicles_230.txt,193.40148574092623,322.4669809072321,110.80111096761094,26.262080907596783,52.524161815193565,75871.03598329533,12980,presynapticmembranes_1,203.2933913921305,False,0.0530459843575954,1.0106922904286175,0.9969586468235142,0.9697958629897092,26.26208091534912,0.7932234901425483,0.9888098116733726,0.9156416041924448
20231026_HippAu_26,15F1,2025-07-23 11:14:55,4,synapticvesicles_300.txt,50.15090918303939,695.1092839002315,207.68379319441945,26.135420629444223,52.27084125888845,74778.55895394715,12922,presynapticmembranes_1,156.80678828089222,False,0.053018245846033,1.0101637848287397,0.9963074415090252,0.9663936809451572,26.13542063926908,0.8783152846357989,0.9873333133398648,0.891007020492427
20231026_HippAu_26,15F1,2025-07-23 11:14:55,5,synapticvesicles_189.txt,319.4734196688664,590.2819718595025,163.35033888621393,26.037573804094112,52.07514760818823,73941.82258076088,12738,presynapticmembranes_1,70.12965361067539,False,0.0530351661145687,1.0104861689859577,0.9960125085661896,0.9625650442429836,26.037573817196453,0.9747154238668015,0.9859782692692278,0.9060339180435256
20231026_HippAu_26,15F1,2025-07-23 11:14:55,6,synapticvesicles_38.txt,384.3921498612639,413.1674691047953,182.93453525059948,25.935882746053306,51.87176549210661,73078.85119668584,12670,presynapticmembranes_1,48.534328717822966,False,0.0530661307275295,1.011076141930651,0.9968692021424352,0.9732204664897212,25.935882754953248,0.6945508413549332,0.989774581446621,0.9335336037424982
20231026_HippAu_26,15F1,2025-07-23 11:14:55,7,synapticvesicles_18.txt,431.8871254502372,273.158013781537,182.3581118835469,24.75538255793924,49.510765115878485,63547.36330539292,11522,presynapticmembranes_1,4.656450294728205,True,0.0528833009302616,1.0075926611583153,0.9966160097980769,0.9713279260056576,24.755382562095903,0.7097881605786692,0.989029584660351,0.771162384453017
20231026_HippAu_26,15F1,2025-07-23 11:14:55,8,synapticvesicles_162.txt,314.53367043410753,511.2523889507959,121.45422451260252,24.44571605031004,48.89143210062008,61192.317037109126,11258,presynapticmembranes_1,103.467397675623,False,0.0527127161622047,1.0043424865781363,0.997935436623069,0.9771113773787043,24.44571605657675,0.5595287695263323,0.9916882188497596,0.619665980718459
20231026_HippAu_26,15F1,2025-07-23 11:14:55,9,synapticvesicles_93.txt,251.98662897721115,463.3526266679663,123.96248525019728,24.23648433057516,48.47296866115031,59634.48557481681,11072,presynapticmembranes_1,172.35012609393112,False,0.0528357364237308,1.0066864082038105,0.998155485704634,0.978912218439982,24.23648433481689,0.5110936874354196,0.9923825055252384,0.7289203263437196
20231026_HippAu_26,15F1,2025-07-23 11:14:55,10,synapticvesicles_78.txt,393.5824171056596,511.969418653102,210.5395974957321,24.10869282069546,48.21738564139092,58696.14780564048,10958,presynapticmembranes_1,60.38282698094643,False,0.0526198670268058,1.0025734194855551,0.9972644964673256,0.9728463306429594,24.108692822853367,0.654639473542218,0.989939046720016,0.5372066248039754
20231026_HippAu_26,15F1,2025-07-23 11:14:55,11,synapticvesicles_3.txt,347.91180653148825,186.7743828992656,219.3083196089872,23.95942940932431,47.91885881864862,57612.67267975634,17926,presynapticmembranes_1,53.8271536156797,False,0.0525915771722793,1.002034409073861,0.9792363935419834,0.8698837556162261,23.95942944431033,3.117510976871672,0.9464306021642562,0.5120823931872771
20231026_HippAu_26,15F1,2025-07-23 11:14:55,12,synapticvesicles_79.txt,320.05901900941,622.8747644905685,254.42775370515164,23.789737237324136,47.57947447464827,56397.20027809474,10660,presynapticmembranes_1,86.00041793301513,False,0.0523827970027923,0.9980564923615912,0.9960305813375928,0.962782636223684,23.78973696446503,0.8853912947493645,0.98605619780342,0.32666463749512
20231026_HippAu_26,15F1,2025-07-23 11:14:55,13,synapticvesicles_64.txt,345.2640620828255,375.4583602083024,111.0103557332545,23.736906353335968,47.473812706671936,56022.30305920141,10630,presynapticmembranes_1,61.89974014279631,False,0.0524710118770599,0.9997372622521512,0.9973432884105584,0.9746479057022384,23.736906359551384,0.601780288364485,0.9905346735980624,0.4050083041639923
20231026_HippAu_26,15F1,2025-07-23 11:14:55,14,synapticvesicles_246.txt,195.4858758077768,183.4353567147747,97.79483984647632,23.61944861462305,47.2388972292461,55194.76317679181,10532,presynapticmembranes_1,113.82803973099824,False,0.0523718856275081,0.9978485964574758,0.9971578833066792,0.9711212584668358,23.61944861629984,0.6820999517459756,0.9893468958547262,0.3169742405494644
20231026_HippAu_26,15F1,2025-07-23 11:14:55,15,synapticvesicles_247.txt,158.56822561163332,228.9436026864121,163.8319809816197,23.525792842259303,47.05158568451861,54540.78881541844,10436,presynapticmembranes_1,186.52192814970613,False,0.0525126904249191,1.0005313692426745,0.9984028024821672,0.9805794818705044,23.525792749718235,0.4568830846066574,0.9930558062986684,0.4420230399195389
