tomogram_name,set_name,timestamp,vesicle_index,vesicle_file_name,vesicle_center_x,vesicle_center_y,vesicle_center_z,vesicle_radius_nm,vesicle_diameter_nm,vesicle_volume_nm3,vesicle_point_count,closest_presynaptic_membrane,distance_to_active_zone_nm,within_10nm,average_signal,scaled_signal,sphericity_volume,sphericity_fit_quality,mean_distance_to_center,std_distance_to_center,combined_sphericity
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,0,synapticvesicles_9.txt,579.9623564889207,287.27618377307215,229.824853420142,27.30861832113724,54.61723664227448,85307.61338118289,13974,presynatpticmembranes_1,84.68738003657032,False,0.0296519882977008,0.9126603510407734,0.9860395650597076,0.9353522480730532,27.3086188887568,1.7654408193878814,0.9708333699637112
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,1,synapticvesicles_10.txt,584.9130173569841,361.4833295081746,265.6621401555802,26.827187942160364,53.65437588432073,80874.9573556138,25572,presynatpticmembranes_1,35.77949393318497,False,0.0297750830650329,0.9164490923702472,0.9784333445396256,0.8584365010825261,26.82718803036964,3.797750603696098,0.9424342915024956
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,2,synapticvesicles_33.txt,573.4030382839171,133.01775571068652,293.79927572496064,26.708154891754425,53.41630978350885,79803.19295401515,13206,presynatpticmembranes_1,161.16781924680205,False,0.0300306025892496,0.924313743345016,0.9848294829437894,0.9247882967192828,26.70815488736782,2.0087658205641423,0.9668171270764374
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,3,synapticvesicles_6.txt,589.0103787800325,236.9290805737781,297.3917862852132,26.31457081774224,52.62914163548447,76326.87521159192,12940,presynatpticmembranes_1,114.459148112591,False,0.0301844850182533,0.9290500999853708,0.9850710943857056,0.931387467823604,26.31457082240377,1.805509337260232,0.9689660064170752
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,4,synapticvesicles_47.txt,451.5141694137261,60.54010130294743,276.248391114097,25.702343164309383,51.404686328618766,71122.45883687717,12356,presynatpticmembranes_1,99.44959253819536,False,0.0303255841135978,0.9333929976216372,0.9925865360060442,0.955774736998819,25.702343197894542,1.1366928876735012,0.9815429963038764
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,5,synapticvesicles_15.txt,361.7074540963649,68.33786969461606,243.87690614693955,24.97179300265693,49.94358600531386,65228.5595727111,11616,presynatpticmembranes_1,15.277844186448284,False,0.030657336115837,0.943604012673387,0.9934797783074304,0.9546834698163296,24.971792732339097,1.1316349990954044,0.9818408857601002
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,6,synapticvesicles_99.txt,551.3520526379518,257.409629184368,188.4201284109382,24.964295657709584,49.92859131541917,65169.826000778565,11115,presynatpticmembranes_1,89.74764876653498,False,0.0307830795645713,0.9474742779288136,0.9832322688056696,0.936414593045018,24.964295686540385,1.58736490057317,0.969186966077474
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,7,synapticvesicles_1.txt,444.9229209467903,224.8304899886708,277.1079865997813,24.64848173586084,49.29696347172168,62727.66613541835,11394,presynatpticmembranes_1,8.34617031369493,True,0.0310585051774978,0.9559516196185308,0.9863878319826952,0.926598798422284,24.648482001820103,1.8092281960003016,0.9684511219145716
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,8,synapticvesicles_26.txt,503.4290582854612,153.23254549226746,264.0305396798733,24.408426580790263,48.81685316158053,60912.71588656238,11266,presynatpticmembranes_1,100.16719069309482,False,0.031024370342493,0.9549009814560768,0.9874949082556994,0.9294352465362032,24.408426511813428,1.7223745992453157,0.9700770097398506
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,9,synapticvesicles_60.txt,567.167103123859,200.13096518684725,184.5805019503077,24.366310347152567,48.73262069430513,60597.948753699886,11140,presynatpticmembranes_1,138.69666444076188,False,0.0311740767210721,0.9595088031864554,0.9880109172923184,0.946312066230801,24.366309834607737,1.3081768286002011,0.9755012619738632
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,10,synapticvesicles_7.txt,647.558971670353,246.9009295520713,290.9323683057387,24.29437906619472,48.58875813238944,60062.861632068416,10990,presynatpticmembranes_1,159.0042399954512,False,0.0311195738613605,0.9578312563529092,0.9869149076611716,0.9389724249217232,24.29437963781606,1.482627077326982,0.9725321628393367
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,11,synapticvesicles_35.txt,550.5778085062539,176.1207944437032,242.2815730598248,24.239384137696764,48.47876827539353,59655.893283298254,11050,presynatpticmembranes_1,127.78586273939584,False,0.0312812812626361,0.9628084582906812,0.9860021846863314,0.938251236400192,24.239384157746848,1.4967520021616385,0.9716769002004896
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,12,synapticvesicles_71.txt,503.0145018800716,26.07417930088972,214.5865524641376,24.15910705754147,48.31821411508294,59065.14089693781,20036,presynatpticmembranes_1,163.78854437089575,False,0.0312466658651828,0.9617430288674004,0.9699585428981004,0.8443209154166411,24.159107762578547,3.761067780828948,0.9322672546536626
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,13,synapticvesicles_44.txt,416.3962716543245,85.28031624626159,239.8769909551643,23.80918346604631,47.61836693209262,56535.6141115774,10616,presynatpticmembranes_1,68.91055793160552,False,0.0316369794309139,0.9737565138431682,0.9920500510928968,0.9482999019891122,23.80918346352877,1.2309371186236475,0.9789250063617614
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,14,synapticvesicles_18.txt,397.58029812748,151.51022656316576,157.6692394674468,23.70621855548506,47.41243711097012,55805.3018112756,10482,presynatpticmembranes_1,36.09740117125381,False,0.0313962213695049,0.966346206829845,0.9860621717141655,0.939138374665034,23.706218563205187,1.4427989923026066,0.971985032599426
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,15,synapticvesicles_32.txt,573.3784937761509,53.88005017068491,239.3994845016438,23.651730794895364,47.30346158979073,55421.38705881834,10416,presynatpticmembranes_1,219.3437852766282,False,0.0315879993140697,0.9722489518481944,0.984510163298748,0.923739440680264,23.651730388064426,1.803694188273387,0.9662789465132028
