cluster_label,n_aunps,cluster_area,cluster_max_dimension,cluster_density,tomogram_name,set_name
0,67,9116.934011204656,158.3415685334928,0.0073489618239703,20241030_AMmilled12-1_15,unknown
1,159,24894.535659061785,256.2630487194103,0.0063869437927082,20241030_AMmilled12-1_15,unknown
2,6,287.0604372035494,25.394684325999588,0.0209015218483259,20241030_AMmilled12-1_15,unknown
3,12,867.7613815327006,45.489135074876266,0.0138286863824301,20241030_AMmilled12-1_15,unknown
4,32,3691.088615867834,110.52681743928964,0.0086695290550417,20241030_AMmilled12-1_15,unknown
5,6,111.17399406280347,39.08738520138612,0.0539694561716522,20241030_AMmilled12-1_15,unknown
0,20,2059.106843429389,84.91062551474732,0.0097129491186045,20231026_HippAu_26,unknown
1,10,499.9337527934189,44.89519457029652,0.0200026502394051,20231026_HippAu_26,unknown
2,6,201.16774274116293,23.21712865610852,0.0298258553694666,20231026_HippAu_26,unknown
3,32,3885.677807958151,114.20303025845924,0.0082353714284961,20231026_HippAu_26,unknown
4,15,1424.47499729454,59.19671620208924,0.0105301953551231,20231026_HippAu_26,unknown
5,7,553.006579913315,38.60439619358216,0.0126580772349892,20231026_HippAu_26,unknown
6,4,55.87452345156038,16.173334361010653,0.0715889774606801,20231026_HippAu_26,unknown
7,10,711.459346628466,53.273573287779335,0.0140556168773226,20231026_HippAu_26,unknown
8,4,80.95784277859624,15.493983361389494,0.0494084311379097,20231026_HippAu_26,unknown
9,12,785.4601957515773,53.56645295356777,0.01527766787535,20231026_HippAu_26,unknown
10,4,96.2331181602596,14.251983011745637,0.0415657320106649,20231026_HippAu_26,unknown
11,13,966.2500693125328,49.88780249381764,0.0134540740672331,20231026_HippAu_26,unknown
0,62,8463.138424670411,120.7844169501736,0.007325887500465235,20231017_EGmilled24-2_68,unknown
1,41,6809.119920002195,148.61941578109665,0.006021336161162335,20231017_EGmilled24-2_68,unknown
2,3,,15.931058043135184,,20231017_EGmilled24-2_68,unknown
3,4,48.08505180493558,20.52629540960045,0.08318593512650493,20231017_EGmilled24-2_68,unknown
