tomogram_name,set_name,timestamp,vesicle_detection_vesicle_count,vesicles_within_10nm,vesicle_detection_average_vesicle_diameter,vesicle_detection_diameter_std,vesicle_detection_average_signal,vesicle_detection_min_signal,vesicle_detection_max_signal,vesicle_detection_signal_std,vesicle_detection_status,distance_measurements_average_distance_to_az,distance_measurements_min_distance_to_az,distance_measurements_max_distance_to_az,distance_measurements_distance_std,distance_measurements_status,sphericity_average_volume,sphericity_volume_std,sphericity_average_fit_quality,sphericity_fit_quality_std,sphericity_average_combined,sphericity_combined_std
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-10 21:59:26,61,9,43.74074121596073,5.314823544583911,1.0,0.9126603510407734,1.0881130256987548,0.0406098755224157,completed,96.8017074561553,1.974766449018515,219.3437852766282,60.21237489525813,completed,0.976173578029912,0.0355471167671895,0.9130539985946858,0.0509195387487957,0.957237704199344,0.0346692034923892
20241030_AMmilled12-1_15,15F1,2025-07-10 22:11:45,164,7,41.03969876062067,6.743775044808597,1.0000000000000002,0.97890732606507,1.030517762631434,0.0142076512755926,completed,208.93613438713663,5.1188680943240845,412.4580984601209,105.36497566358864,completed,0.9824388743392958,0.0329617288914072,0.9340287982648044,0.0553026306522145,0.9679158515169484,0.0344520471134511
20231026_HippAu_26,15F1,2025-07-10 22:26:49,168,10,39.78138945509844,5.463690911894753,1.0,0.976219047538489,1.0127900141598305,0.006423310516969098,completed,165.03463961430367,4.384782553079917,382.9447800201777,91.90133349007482,completed,0.9931879742765365,0.015029590797399694,0.957653323028353,0.047709555755424723,0.9825275789020813,0.022769459432265677
