tomogram_name,set_name,timestamp,aunp_count,nearest_neighbor_distance_mean,nearest_neighbor_distance_std,nearest_neighbor_distance_min,nearest_neighbor_distance_max,distance_to_presynaptic_mean,distance_to_presynaptic_std,distance_to_presynaptic_min,distance_to_presynaptic_max,distance_to_postsynaptic_mean,distance_to_postsynaptic_std,distance_to_postsynaptic_min,distance_to_postsynaptic_max,distance_to_fusion_point_mean,distance_to_fusion_point_std,distance_to_fusion_point_min,distance_to_fusion_point_max
20241030_AMmilled12-1_15,15F1,2025-07-16 15:04:45,290,7.6884677075079235,2.9412579497408053,0.0916481028608841,25.86825490209072,5.966945455484447,3.2607114572138745,2.6092984300118904,24.472796865059102,21.31989607392428,2.271054767855488,7.176074879586345,29.320777522406743,48.1077290031719,21.64245108614434,9.341662458511546,102.79996145140512
20231026_HippAu_26,15F1,2025-07-16 15:04:52,168,9.182190284349955,5.976739284775298,1.349256175844283,49.506365713402815,7.41754039274435,4.723207688876482,3.012317628251896,29.92130285697653,20.28101072909364,3.070847618178688,6.002361716018187,29.051950925150923,88.76395445837719,72.85367821452044,13.969266909200377,283.6528375004413
20231017_EGmilled24-2_68,15F1,2025-07-16 15:04:57,116,7.384982971135583,7.783041121440335,0.0,57.9959076133108,11.79699860812102,5.5320563736418675,3.856841390882483,25.786531574083526,19.51455287340828,3.4038485747640697,5.015128944697641,25.702413372564287,75.87885156045083,29.806043900758574,25.940102611109793,233.4820607073758
