tomogram_name,set_name,timestamp,vesicle_detection_vesicle_count,vesicle_detection_vesicle_volumes_count,vesicle_detection_vesicle_volumes_first_5_values,vesicle_detection_vesicle_diameters_count,vesicle_detection_vesicle_diameters_first_5_values,vesicle_detection_total_vesicle_volume,vesicle_detection_average_vesicle_diameter,vesicle_detection_average_distance_to_az,vesicle_detection_min_distance_to_az,vesicle_detection_max_distance_to_az,vesicle_detection_distance_std,vesicle_detection_nearby_vesicle_count,vesicle_detection_average_vesicle_signal,vesicle_detection_min_vesicle_signal,vesicle_detection_max_vesicle_signal,vesicle_detection_signal_std,vesicle_detection_average_scaled_signal,vesicle_detection_min_scaled_signal,vesicle_detection_max_scaled_signal,vesicle_detection_scaled_signal_std,vesicle_detection_average_sphericity_volume,vesicle_detection_min_sphericity_volume,vesicle_detection_max_sphericity_volume,vesicle_detection_sphericity_volume_std,vesicle_detection_average_sphericity_fit_quality,vesicle_detection_min_sphericity_fit_quality,vesicle_detection_max_sphericity_fit_quality,vesicle_detection_sphericity_fit_quality_std,vesicle_detection_average_combined_sphericity,vesicle_detection_min_combined_sphericity,vesicle_detection_max_combined_sphericity,vesicle_detection_combined_sphericity_std,vesicle_detection_status,distance_measurements_average_distance_to_az,distance_measurements_min_distance_to_az,distance_measurements_max_distance_to_az,distance_measurements_distance_std,distance_measurements_vesicle_az_distances_count,distance_measurements_vesicle_az_distances_first_5_values,distance_measurements_status
20241030_AMmilled12-1_15,15F1,2025-07-16T14:35:57.775995,164,164,"[122400.47392447524, 108723.97704248062, 101405.44092058897, 92785.17625988116, 79075.46121498354]",164,"[61.60200188356046, 59.2164319862433, 57.856773651037365, 56.168564522497576, 53.253444505892446]",6415169.685511091,41.03969876062067,208.93613438713666,5.1188680943240845,412.4580984601209,105.36497566358864,7,0.010625865798806998,0.010401737876236439,0.010950143449008465,0.0001509685957706964,1.0000000000000002,0.9789073260650701,1.0305177626314341,0.014207651275592632,0.9824388743392958,0.8333101083323696,0.9980111921051013,0.03296172889140729,0.9340287982648044,0.811310893414735,0.9818235454092066,0.055302630652214566,0.9679158515169484,0.8542681983321523,0.9930024593474056,0.03445204711345117,completed,208.93613438713666,5.1188680943240845,412.4580984601209,105.36497566358864,164,"[378.3698869401908, 308.62483860099456, 135.537464543573, 200.2017920686087, 258.1289951927076]",completed
20231026_HippAu_26,15F1,2025-07-16T14:51:27.810089,168,168,"[114922.739893542, 113574.27640545121, 77443.37242820598, 75871.03598329533, 74778.55895394715]",168,"[60.321081081524135, 60.08422338283604, 52.88451732008121, 52.524161815193565, 52.27084125888845]",5861011.775390511,39.78138945509844,165.03463961430367,4.384782553079917,382.9447800201777,91.90133349007482,10,0.05186104705734622,0.05062774196267128,0.052524350583553314,0.00033311960898448154,1.0,0.976219047538489,1.0127900141598305,0.006423310516969098,0.9931879742765365,0.8847030785964546,0.9989708782000235,0.015029590797399694,0.957653323028353,0.7974721073038313,0.9892224294317933,0.047709555755424723,0.9825275789020813,0.8736954138814214,0.9959705436908985,0.022769459432265677,completed,165.03463961430367,4.384782553079917,382.9447800201777,91.90133349007482,168,"[88.57018366805177, 5.678848394815783, 169.7513689252183, 203.2933913921305, 156.80678828089222]",completed
20231017_EGmilled24-2_68,15F1,2025-07-16T14:59:22.776822,133,133,"[418354289.06945896, 91338.62013231014, 67749.86828311053, 66115.44022917529, 62408.03396423112]",133,"[927.9299689635993, 55.875137904598944, 50.57896572093518, 50.16892061068308, 49.21308907823152]",422923231.28164613,46.50879452007145,168.93109033398989,7.731587015096657,400.15010344545317,95.877632110059,1,0.012181778494408704,0.0112635912373662,0.012299971655011177,0.00012714895069878732,0.9999999999999998,0.9246261736359809,1.0097024552413856,0.010437634435492914,0.9805541023518783,0.6471686251529186,0.9987333684688646,0.0476557831835977,0.9391042668214736,0.6706997152603151,0.9971798444418589,0.05494475170111499,0.9681191516927569,0.7521719909396007,0.9949587742243594,0.04093367364351492,completed,168.93109033398989,7.731587015096657,400.15010344545317,95.877632110059,133,"[399.4394590030711, 138.52198900716928, 54.0717212460426, 400.15010344545317, 193.34125935159076]",completed
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-16T15:02:26.389675,61,61,"[85307.61338118289, 80874.9573556138, 79803.19295401515, 76326.87521159192, 71122.45883687717]",61,"[54.61723664227448, 53.65437588432073, 53.416309783508844, 52.62914163548447, 51.404686328618766]",2789998.7945287367,43.74074121596073,96.8017074561553,1.974766449018515,219.3437852766282,60.21237489525813,9,0.032489620332346585,0.029651988297700882,0.03535237908363342,0.0013193994374671415,0.9999999999999999,0.9126603510407734,1.0881130256987548,0.04060987552241572,0.9761735780299119,0.8323732278286372,0.9963105097279614,0.035547116767189545,0.9130539985946858,0.8197470869483399,0.9792119256975813,0.0509195387487957,0.957237704199344,0.8454961252108005,0.9911809345188474,0.03466920349238925,completed,96.8017074561553,1.974766449018515,219.3437852766282,60.21237489525813,61,"[84.68738003657032, 35.77949393318497, 161.16781924680205, 114.45914811259101, 99.44959253819536]",completed
20250228_AMmilled25-2_Position_1_7,unlabeled,2025-07-16T15:04:38.766114,53,53,"[215486.49629213446, 134482.46074313225, 106875.45279026563, 90563.54719158572, 84426.53743307265]",53,"[74.38302093644246, 63.56562794682813, 58.878912751211075, 55.71664202083102, 54.42855257614985]",2670432.60002376,44.41576998288107,102.01947869377302,8.178710686479462e-07,229.23043602034005,65.68857863380542,5,0.04576273262500763,0.044785596430301666,0.04629429057240486,0.00033197886882548337,1.0000000000000002,0.978647774320802,1.01161552024773,0.007254349768529101,0.9806063872740498,0.7913841164237669,0.9987580571076666,0.03893675257987099,0.93887110371725,0.7715990346472412,0.9886896952336989,0.057178520457872306,0.9680858022070099,0.8163001766132489,0.9957077798900272,0.039533667518701396,completed,102.01947869377302,8.178710686479462e-07,229.23043602034005,65.68857863380542,53,"[83.73654277593204, 160.25711527111312, 95.57160827441189, 204.76489420460575, 86.42550894347337]",completed
