tomogram_name,set_name,timestamp,active_zone_count,total_active_pre_points,total_active_post_points,avg_active_zone_area,distance_threshold,avg_presynaptic_volume_um3,avg_postsynaptic_volume_um3,presynaptic_count,postsynaptic_count,status,average_cleft_width,cleft_width_std,min_cleft_width,max_cleft_width
20241030_AMmilled12-1_15,15F1,2025-07-16T13:21:32.957847,1,217453,201634,0.0742731425024057,40.0,0.03270026487721008,0.03014264407685634,1,1,completed,28.14456195729975,4.113282793416732,17.485061524055364,39.999802184635946
20231026_HippAu_26,15F1,2025-07-16T13:23:27.900059,1,398607,403468,0.2335770849846403,40.0,0.04386301988656532,0.02029734986829205,1,1,completed,26.80945612561625,6.050464877344463,7.628601516005397,39.99982170510258
20231017_EGmilled24-2_68,15F1,2025-07-16T13:24:02.322085,2,115128,108843,0.0304801868082148,40.0,0.022488180323593225,0.008468903773494735,2,1,completed,28.2182718119664,6.363312807356473,8.397765596871565,39.99998813137324
20250227_AMmilled25-3_Position_16,unlabeled,2025-07-16T13:25:09.856250,1,202316,201907,0.08114795817181199,40.0,0.022071590942093648,0.046071144041576514,1,1,completed,28.626815904272274,4.653786453552369,19.061210618688396,39.99982834300666
20250228_AMmilled25-2_Position_1_7,unlabeled,2025-07-16T13:25:09.858802,0,0,0,0.0,40.0,0.0,0.0,0,0,no_active_zones,0.0,0.0,0.0,0.0
