tomogram_name,set_name,timestamp,active_zone,faCoordinateX,faCoordinateY,faCoordinateZ,nearest_neighbor_distance,distance_to_presynaptic,distance_to_postsynaptic,distance_to_fusion_point
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,258.725251,645.62598,179.827438,12.578120440699568,4.96871227788045,24.294778939104955,12.168507500794918
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,455.964559,432.475196,165.712107,7.581404400601435,5.298268392058207,20.20322175543388,14.782151019303289
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,324.937493,584.103902,170.952863,12.777835100434356,8.157736666769166,16.261161536464712,36.40397539755118
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,363.866452,517.468845,185.367449,8.182341852947156,3.603925512486888,25.70285076473233,29.25632253056705
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,362.269899,533.517236,176.265458,5.748721720433722,6.376169178528447,19.57616603164847,35.75368040917673
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,407.933313,508.85793,137.120318,7.6231682565558465,2.797488107302818,23.32371532896192,25.340928861882112
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,338.997685,615.193795,112.216014,10.470949208722327,5.013544201188906,20.81515462809292,70.92769846181706
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,305.287309,659.689142,105.293561,9.120362500819034,6.613224262251737,18.645571945026,66.45384738997714
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,308.887819,569.301317,195.569767,7.118545983188055,5.148910097979901,26.506764694117788,47.17958640577921
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,311.832602,644.691248,116.884089,8.50400710216142,5.459209165048002,20.523156378580783,66.82064074094838
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,212.460319,712.531751,182.724777,8.45002135813705,5.789602065899936,20.759108058062075,68.94027482528635
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,395.903891,490.967728,191.46888,9.733383563882018,14.45482045596928,12.74766531430794,45.420587529489865
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,450.333749,440.408614,164.068746,9.294616141289168,4.999810563003089,20.97482199473772,10.45358704377661
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,264.324134,653.826433,163.953439,10.15771419456436,4.522032777009082,21.38845410761319,24.63854651524792
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,298.927864,670.526289,91.911388,9.95798331472218,9.17785570120827,18.47207086361756,66.96455214386336
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,530.034472,389.428145,128.119831,6.0024588567322725,3.4109805037536485,21.39015495001039,44.33113672378849
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,217.365604,748.349354,127.430086,7.099360999166128,4.75474857842403,23.1809210896858,78.3240064070177
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,259.906577,663.364926,155.874054,9.151791367551652,3.2667757781353672,20.700544986085696,26.40846216443607
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,396.903184,470.36104,190.339352,5.790437967452642,4.144835879150532,22.372576200792192,46.46605850030881
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,519.904811,388.572639,147.99796,8.34670939005976,5.223265906004236,19.65583740268637,36.86352892952757
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,221.507456,731.341212,154.783095,10.19924640211768,7.403017798692481,19.68488676523496,63.48233927239387
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,520.312021,407.88233,115.35648,9.499112248738054,4.195774563288454,21.357835707248444,36.586893292914986
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,405.833988,480.104898,170.948218,7.023639030204818,3.9167034223321626,21.65803351851117,23.900759692462472
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,392.126526,469.211974,201.115055,10.036671770843297,6.579035239578803,21.65594080366237,57.89128405995215
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,222.260748,746.259755,114.723972,8.524160039062512,3.717601845828274,21.693437369628327,77.0644463866401
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,382.448666,493.681261,194.287287,10.180687451509636,8.514763930633976,21.630114790390635,52.009202812499375
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,387.350899,527.376745,145.968508,7.118409801078006,3.757429904544456,22.757189083313104,46.09088672236344
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,401.235604,485.306338,172.011887,7.023639030204818,4.33039417981881,21.5342602954119,24.970447021151365
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,415.978147,520.73755,118.614808,6.587020524305239,5.075957086679711,20.008965673087022,46.273358419358445
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,388.385467,493.885696,186.019337,9.733383563882018,7.73092206510763,19.95936288957162,43.39982053281261
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,364.249079,548.208527,154.7296,6.348273850923228,3.974957325561311,21.00580328050697,58.15451531034123
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,478.790707,448.820972,125.428471,7.208452035190777,4.847734298008304,22.58690461574354,44.27281771917774
20241030_AMmilled12-1_15,unknown,2025-07-24 15:03:08,0,391.350088,515.454198,157.46307,8.389442563896301,5.335409273732773,21.722058558898503,34.97383700034855
