cluster_label,n_aunps,cluster_area,cluster_max_dimension,cluster_density
0,20,2059.106843429389,84.91062551474732,0.009712949118604512
1,10,499.9337527934189,44.89519457029652,0.02000265023940516
2,6,201.16774274116295,23.217128656108518,0.029825855369466647
3,32,3885.677807958151,114.20303025845924,0.008235371428496122
4,15,1424.4749972945401,59.19671620208924,0.01053019535512313
5,7,553.006579913315,38.60439619358216,0.012658077234989257
6,4,55.87452345156038,16.173334361010653,0.07158897746068014
7,10,711.459346628466,53.273573287779335,0.014055616877322631
8,4,80.95784277859624,15.493983361389494,0.04940843113790979
9,12,785.4601957515773,53.56645295356777,0.015277667875350006
10,4,96.2331181602596,14.251983011745635,0.0415657320106649
11,13,966.2500693125328,49.88780249381764,0.01345407406723317
