Set,Tomogram name,Alignment directory,Included AZs,Notes,Vesicles segmented?,Best residual,MTs,Actin,Fusing vesicles,Recycling receptors,Clathrin,Ribosomes,Presynaptic receptor,Flotillin,Rod in presynaptic vesicle,Tissue Quality (group rankings),Tissue Quality (CJS initial rankings; 1=intact tissue; 2=slightly dissociated tissue or unsure; 3=synaptosome-like),Initial Scoring,Etomo image rotation input (degrees),Etomo estimated image rotation (degrees),Excluded views,PT residual error mean (automated IMOD patch tracking),"PT residual error mean (manually analyzed; initial, unweighted)",PT residual cutoff,"PT residual error mean (final after editing, unweighted)",#Fids used,Erased Fiducials?,Fid residual error mean,Best alignment (patch/fiducial),Thickness estimate measured in IMOD (nm),Physical pixel size,Super-resolution?,Data pixel size,Cs,Defocus target (µm),Amplitude contrast,# of tilts (intended),# of tilts (actual),Tilt range,Image rotation (degrees),Scope,Detector,Energy filter,Movie format,Total dose (e/Å2),Dose per tilt (e/Å2),Exposure time (s),# of frames,Sample,Grid prep date,Grid name,Milling date,Milling location,Milled grid name,Lamella ID,Data collection date,Data collection location,15F1Fab-AuNP,Antagonists,Cryoprotectant conditions,Fiducials added?
15F1,20240111_WaffleHipp_129,liza_az0,0,probably good for some sta,,0.66,,,,,,,,,,tissue,2,4,-96,-96,-,5.10,-,-,-,10,Y,0.66,fiducial,250.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_132,liza_az0,0,,,0.48,,Post,,,,,,,,semi-tissue,2,4,-96,-96,-,4.40,-,-,-,7,Y,0.48,fiducial,260.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_133,liza_az0,0,,,0.55,,,,,,,,Pre (1),,tissue,1,5,-96,-96,-,7.40,-,-,-,16,Y,0.55,fiducial,250.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_134,best_alignment,0,,,0.54,,Post,,,,Other,,,,semi-tissue,2,5,-93,-96,-,2.70,1.3,3.00,1.1,17,Y,0.54,fiducial,180.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_135,best_alignment,0,,,0.47,Pre (4),,,,,,,Pre (1); Other (1),,semi-tissue,2,4,-96,-96,-,,-,-,-,21,Y,0.47,fiducial,200.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_150,liza_az0,0,AuNPs clear even with higher residual,,2.96,,,,,,,,,,semi-tissue,1,5,-96,-96,-,5.40,2.96,-,2.96,-,-,-,patch,290.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_154,best_alignment,0,,,0.56,,,,,,,,Pre (1),,semi-tissue,2,4,-96,-96,-,3.40,-,-,-,15,Y,0.56,fiducial,190.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_176,liza_az0,0,"cleft with good segmentation has no aunps, cleft with aunps has big holes in segmentation, but good particles for sta",,0.83,Other,Post,,,,,,,,tissue,1,5,-93,-97,-,4.10,2.1,4.00,1.97,6,Y,0.83,fiducial,,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_179,best_alignment,0,,,0.48,,Post,,,,,,,,semi-tissue,2,4,-96,-96,-,4.30,2.15,-,2.15,3,Y,0.48,fiducial,220.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_183,best_alignment,0,$,,1.50,,Post,,,,,,Pre (1),,tissue,1,5,-93,-96,-,2.30,1.5,3.00,1.39,0,-,-,patch,210.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
