Set,Tomogram name,Alignment directory,Included AZs,Notes,Vesicles segmented?,Best residual,MTs,Actin,Fusing vesicles,Recycling receptors,Clathrin,Ribosomes,Presynaptic receptor,Flotillin,Rod in presynaptic vesicle,Tissue Quality (group rankings),Tissue Quality (CJS initial rankings; 1=intact tissue; 2=slightly dissociated tissue or unsure; 3=synaptosome-like),Initial Scoring,Etomo image rotation input (degrees),Etomo estimated image rotation (degrees),Excluded views,PT residual error mean (automated IMOD patch tracking),"PT residual error mean (manually analyzed; initial, unweighted)",PT residual cutoff,"PT residual error mean (final after editing, unweighted)",#Fids used,Erased Fiducials?,Fid residual error mean,Best alignment (patch/fiducial),Thickness estimate measured in IMOD (nm),Physical pixel size,Super-resolution?,Data pixel size,Cs,Defocus target (µm),Amplitude contrast,# of tilts (intended),# of tilts (actual),Tilt range,Image rotation (degrees),Scope,Detector,Energy filter,Movie format,Total dose (e/Å2),Dose per tilt (e/Å2),Exposure time (s),# of frames,Sample,Grid prep date,Grid name,Milling date,Milling location,Milled grid name,Lamella ID,Data collection date,Data collection location,15F1Fab-AuNP,Antagonists,Cryoprotectant conditions,Fiducials added?
15F1,20230509_CryoProDexSucB_51,liza_az0,0,,,1.84,,,,,,,,,,semi-tissue,2,5,99,99,"1,2",,1.8,3.00,1.45,-,-,-,patch,200.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.48,8,PSD95GFP mouse hippocampus,20230423,AM 041923 #5-4,20230427,Janelia,EGmilled#19-2,,20230509,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,No
15F1,20230509_CryoProDexSucB_92,liza_az0,0,,,1.93,Other,,,,,,,Post (1); Pre (1),,semi-tissue,2,5,98,100,1.0,5.20,1.9,-,1.93,-,-,-,patch,,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.48,8,PSD95GFP mouse hippocampus,20230423,AM 041923 #5-4,20230427,Janelia,EGmilled#19-2,,20230509,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,No
15F1,20230509_CryoProDexSucB_95,liza_az0,0,,,2.62,,,,,,,,,,tissue,1,5,87,99,-,6.00,2.6,5.00,2.55,0,-,-,patch,310.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,87,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.48,8,PSD95GFP mouse hippocampus,20230423,AM 041923 #5-4,20230427,Janelia,EGmilled#19-2,,20230509,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,No
15F1,20230512-EG18pos2_80,best_alignment,0,,,2.79,Other,,,,,,,Pre (2),,synaptosome,2,5,99,99,1.0,7.70,2.8,-,2.79,-,-,-,patch,250.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.48,8,PSD95GFP mouse hippocampus,20230417,AM2023.4.18 #2-3,20230424,Janelia,EGmilled#18-2,,20230512,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% PVP,No
15F1,20230629_CryoPro_157,liza_az0,0,,,2.44,,Post,,,,,,,,semi-tissue,2,5,99,99,-,6.10,2.4,-,2.44,-,-,-,patch,,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-66 to 30,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.65,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20230620,20230620Green#3,20230627,Janelia,EGmilled#21-2,,20230629,Janelia,40 nM,1 µM ZK; 100 nM RR2b,15% dextran 5% sucrose,No
15F1,20231017_EGmilled24-2_60,best_alignment,0,,,0.95,Other (heading towards synapse though),,,,,,,Other (2),,tissue,1,5,98,99,"1,2",2.20,1.0,2.00,0.85,1,-,-,patch,170.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-2,20231012,Janelia,EGmilled#24-2,,20231017,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_EGmilled24-2_68,liza_az2,0,$,,0.81,Pre (2),Post,,,,,,Pre (2); Post (1),,tissue,1,5,98,99,-,1.80,0.8,2.00,0.77,0,-,-,patch,150.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-2,20231012,Janelia,EGmilled#24-2,,20231017,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_EGmilled24-2_77,liza_az0,0,"only small portion of post segments, but still good for sta and overall quality really nice",,0.42,Other,,,,,,,Post (many top?),,semi-tissue,2,5,98,100,-,1.10,0.4,1.00,0.38,17 (not 10 nm ones),Y,1.06,patch,100.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-2,20231012,Janelia,EGmilled#24-2,,20231017,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_HippAu_132,best_alignment,"0,2",,,0.64,Other,Post,1,,,,,Post (2; interacting with AMPAR?); Other (1),,tissue,1,5,98,98,-,5.60,2.4,6.00,2.23,35,N,0.64,fiducial,260.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231018,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_HippAu_141,best_alignment,2,a lot of non-specific(?) aunps around?; sta useful particles perhaps,,0.61,Other,Post,,,,Post,,Other (1),,semi-tissue,2,4,98,99,-,6.50,-,-,-,47,Y,0.61,fiducial,250.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231018,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
